State_Code_Dest,State_Abbrv,State_Code_Origin,State_Abbrv,State_Name,Return_Num,Exmpt_Num,Aggr_AGI
10,DE,47,TN,TENNESSEE,84,158,3277
10,DE,27,MN,MINNESOTA,81,160,3572
10,DE,53,WA,WASHINGTON,77,137,3572
10,DE,11,DC,DISTRICT OF COLUMBIA,75,103,6497
10,DE,8,CO,COLORADO,73,125,3488
10,DE,29,MO,MISSOURI,66,120,3111
10,DE,18,IN,INDIANA,61,102,1968
10,DE,32,NV,NEVADA,60,118,2584
10,DE,21,KY,KENTUCKY,59,109,2808
10,DE,54,WV,WEST VIRGINIA,59,100,1928
10,DE,1,AL,ALABAMA,51,113,1928
10,DE,22,LA,LOUISIANA,48,83,1753
10,DE,55,WI,WISCONSIN,44,79,2558
10,DE,33,NH,NEW HAMPSHIRE,43,68,1994
10,DE,19,IA,IOWA,42,78,1258
10,DE,23,ME,MAINE,42,68,2108
10,DE,40,OK,OKLAHOMA,42,82,1247
10,DE,20,KS,KANSAS,36,81,1667
10,DE,2,AK,ALASKA,35,84,1321
10,DE,28,MS,MISSISSIPPI,32,75,1086
10,DE,35,NM,NEW MEXICO,30,71,1360
10,DE,44,RI,RHODE ISLAND,26,57,1046
10,DE,31,NE,NEBRASKA,24,47,1085
10,DE,41,OR,OREGON,24,32,941
10,DE,49,UT,UTAH,24,55,997
10,DE,5,AR,ARKANSAS,21,36,836
10,DE,15,HI,HAWAII,19,45,1076
10,DE,38,ND,NORTH DAKOTA,18,39,700
10,DE,50,VT,VERMONT,18,30,618
10,DE,56,WY,WYOMING,17,31,538
10,DE,16,ID,IDAHO,14,26,521
10,DE,46,SD,SOUTH DAKOTA,13,29,436
10,DE,30,MT,MONTANA,12,25,438
11,DC,96,DC,DC Total Mig - US & For,28054,37593,1428456
11,DC,97,DC,DC Total Mig - US,27501,36647,1385155
11,DC,98,DC,DC Total Mig - Foreign,553,946,43301
11,DC,11,DC,DC Non-Migrants,216804,363059,15362457
11,DC,24,MD,MARYLAND,7520,12134,330459
11,DC,51,VA,VIRGINIA,5295,6650,323771
11,DC,36,NY,NEW YORK,2002,2387,133610
11,DC,6,CA,CALIFORNIA,1705,2092,92224
11,DC,25,MA,MASSACHUSETTS,949,1080,44977
11,DC,42,PA,PENNSYLVANIA,944,1078,43638
11,DC,12,FL,FLORIDA,841,1071,37309
11,DC,17,IL,ILLINOIS,771,894,44375
